Food_Type,Quantity,Preparation_Time,Storage_Hours,Temperature,Food_Safe
Dairy Products,4.2,29.7,3.3,-0.4,No
Rice,29.9,2.9,2.1,15.9,Yes
Curry,28.9,84.2,6.6,35.4,No
Fast Food,20.3,41.9,2.4,8.2,Yes
Rice,5.5,8.7,15.3,49.3,No
Vegetables,9.6,55.3,6.1,8.2,Yes
Vegetables,14.3,4.2,47.8,29.8,No
Fast Food,3.4,16.7,4.0,26.0,Yes
Dairy Products,8.7,37.5,8.0,15.1,No
Curry,19.0,32.4,13.9,56.9,Yes
Fast Food,19.4,3.4,5.0,63.4,No
Curry,36.6,68.1,10.9,14.1,Yes
Curry,11.3,29.6,8.6,18.6,Yes
Fruits,29.6,44.9,15.4,17.2,Yes
Curry,25.5,95.0,6.6,0.7,No
Vegetables,18.3,33.2,67.9,25.6,No
Fast Food,7.4,38.5,1.1,32.0,Yes
Vegetables,53.6,30.5,8.1,23.1,Yes
Vegetables,14.7,22.4,12.1,37.9,No
Vegetables,23.4,1.2,66.9,34.5,No
Curry,3.3,105.4,14.2,2.7,No
Fast Food,13.8,7.5,4.1,75.5,No
Fast Food,15.6,57.9,5.6,59.2,No
Fruits,79.6,29.2,47.6,18.3,No
Rice,17.6,52.9,4.5,14.8,No
Curry,3.6,3.8,5.3,41.3,No
Curry,22.0,86.8,13.3,46.9,Yes
Fast Food,10.8,5.7,4.1,25.1,No
Dairy Products,20.0,25.8,1.2,19.0,No
Curry,8.5,64.4,2.5,11.5,Yes
Fruits,64.8,38.5,11.0,24.3,No
Rice,46.4,76.4,3.4,38.7,Yes
Rice,9.1,0.2,7.3,78.4,No
Fruits,56.0,32.9,84.7,24.8,No
Bread,13.8,18.2,53.1,3.0,No
Vegetables,33.9,55.2,38.5,-2.4,No
Rice,30.2,60.8,4.6,5.8,Yes
Vegetables,42.0,37.2,30.5,21.3,No
Curry,27.1,37.7,4.4,6.8,Yes
Bread,55.8,141.0,1.2,31.1,No
Rice,27.3,45.5,2.8,26.4,Yes
Bread,17.8,71.3,39.3,15.1,Yes
Rice,33.7,49.9,16.8,4.3,Yes
Rice,44.6,66.8,3.2,20.4,Yes
Curry,27.8,102.3,7.8,17.6,Yes
Rice,32.1,74.6,1.3,25.0,Yes
Curry,29.9,66.2,6.7,-4.1,No
Vegetables,3.5,22.2,40.0,14.3,Yes
Fast Food,24.3,2.4,2.5,53.0,Yes
Fast Food,14.4,52.5,5.9,58.7,No
Fast Food,4.9,48.0,1.5,30.0,Yes
Fast Food,23.3,48.1,5.3,63.9,No
Fruits,69.9,38.6,24.4,31.7,No
Fast Food,20.1,13.7,0.6,11.4,Yes
Fast Food,7.7,38.5,2.7,78.4,No
Rice,44.0,23.5,10.7,83.5,No
Fruits,28.3,35.4,47.4,39.3,No
Curry,10.9,85.1,0.5,78.3,Yes
Bread,26.4,142.8,66.3,31.2,No
Dairy Products,27.1,20.3,8.2,5.8,Yes
Curry,8.5,79.8,6.0,62.3,Yes
Bread,25.0,126.7,22.2,10.5,Yes
Dairy Products,10.3,17.7,8.3,11.9,No
Dairy Products,3.5,20.6,7.8,6.1,No
Dairy Products,10.0,32.3,2.2,-3.5,Yes
Fast Food,19.4,27.3,5.4,43.9,Yes
Fruits,32.6,6.6,74.4,35.2,No
Fast Food,11.2,10.6,5.8,39.0,Yes
Fast Food,3.9,8.0,3.1,40.1,Yes
Fast Food,22.4,36.8,4.5,37.9,Yes
Fruits,71.9,33.5,51.5,6.7,No
Fast Food,19.7,29.1,1.8,32.4,Yes
Bread,20.8,135.0,6.3,7.5,No
Dairy Products,7.2,16.6,4.3,10.4,No
Fruits,72.5,26.3,75.3,33.6,No
Fruits,1.5,15.8,81.5,33.4,No
Vegetables,52.6,32.8,43.6,4.9,No
Fruits,3.3,15.1,73.5,13.2,No
Curry,39.2,64.1,13.7,48.3,No
Dairy Products,13.4,34.7,2.6,3.6,Yes
Bread,20.9,133.1,20.4,47.6,No
Fruits,2.5,24.3,108.0,10.7,No
Fast Food,1.7,14.8,5.1,47.8,Yes
Dairy Products,4.3,37.9,5.8,3.5,Yes
Vegetables,67.5,43.1,56.1,2.4,Yes
Rice,46.5,51.8,16.4,28.8,Yes
Rice,30.0,74.8,4.7,57.7,Yes
Fast Food,3.9,59.0,4.8,24.5,No
Rice,25.8,30.7,15.4,69.0,No
Dairy Products,26.9,18.4,2.3,0.8,No
Vegetables,56.8,32.3,35.1,14.6,Yes
Bread,51.3,126.3,6.7,44.1,No
Vegetables,43.1,22.7,2.6,33.3,Yes
Bread,48.1,57.6,63.4,35.1,No
Vegetables,66.4,5.1,52.0,17.0,Yes
Dairy Products,21.6,17.9,0.7,4.7,Yes
Bread,40.2,61.7,40.1,17.2,Yes
Bread,21.8,73.5,22.4,11.5,Yes
Rice,37.4,85.6,12.6,12.2,No
Dairy Products,18.1,30.4,7.4,27.4,No
Curry,15.1,36.3,10.8,6.4,No
Vegetables,21.2,56.6,46.1,28.9,No
Vegetables,20.6,28.7,24.9,38.4,No
Rice,41.3,36.1,1.8,51.7,Yes
Fast Food,14.5,18.2,6.0,5.1,Yes
Vegetables,55.6,13.5,37.9,15.3,Yes
Fruits,25.1,27.9,66.0,28.3,No
Dairy Products,7.1,26.4,2.3,0.7,No
Fruits,36.6,26.7,31.8,5.4,Yes
Rice,34.7,83.2,14.3,51.3,No
Fruits,10.1,10.1,16.5,7.0,No
Curry,31.9,71.4,12.5,77.9,No
Dairy Products,9.8,16.1,3.6,12.8,Yes
Rice,44.6,66.1,11.1,-2.7,No
Vegetables,66.6,60.0,48.6,7.1,No
Fruits,42.0,19.9,30.4,39.9,No
Rice,24.0,36.8,6.1,4.4,Yes
Dairy Products,15.4,26.5,5.1,20.1,No
Bread,15.9,26.2,55.7,43.2,No
Dairy Products,26.2,18.5,1.1,12.1,No
Dairy Products,13.8,2.1,3.6,-0.7,No
Rice,2.4,56.7,14.5,58.9,No
Vegetables,29.2,13.5,60.7,0.1,No
Fruits,74.7,13.1,76.3,13.7,Yes
Curry,18.8,17.4,3.3,48.9,Yes
Fast Food,2.7,46.4,5.2,23.9,No
Fast Food,1.1,43.6,5.1,44.3,No
Fruits,43.5,15.5,59.8,19.5,No
Fast Food,5.5,41.8,3.6,14.9,No
Bread,44.9,108.7,58.5,19.3,Yes
